id-lactancia,id,arete,raza,fnacimiento,lactancia ,fconcepcion,fparto,fsecado,dur_lactancia,factor_ ajuste,servicios,natimuerto,aborto,produccion,produccion1,pre_2antes,pre_1antes,pre_mesparto,pre_1pos,pre_2pos,rad_2antes,rad_1antes,rad_mesparto,rad_1pos,rad_2pos,hums_2antes,hums_1antes,hums_mesparto,hums_1pos,hums_2pos
2-5,2,240,holstein,9/10/2002,5,9/20/2012,7/1/2013,9/18/2014,444,1,3,1,0,3447,3447,75.1,0.6,8.3,57.5,7.3,225,124.09277,224,225,124.159287,34.107981,30.156933,17.810381,10.943474,9.83416
5-8,5,301,f1,1/15/2003,8,9/20/2012,6/26/2013,8/9/2013,44,5.72,3,1,0,695,3975,106.2,75.1,0.6,8.3,57.5,224,163.367933,124.09277,224,225,30.406261,34.107981,30.156933,17.810381,10.943474
6-9,6,313,holstein,4/20/2003,9,1/10/2013,10/26/2013,8/30/2014,308,1,2,0,0,3946,3946,57.5,7.3,127.1,86.4,93.3,151.796259,124.159287,78.841416,151.796259,145.493762,10.943474,9.83416,19.360589,31.033565,30.319325
6-10,6,313,holstein,4/20/2003,10,2/14/2014,11/25/2014,7/21/2015,238,1.198,1,0,0,2799,3353,28.5,115.8,140.2,156.7,34.8,115.426871,204.998524,153.475103,115.426871,160.822302,9.83416,19.360589,31.033565,30.319325,25.41054
7-4,7,319,holstein,6/29/2003,4,2/16/2013,12/10/2013,8/6/2014,239,1.194,2,0,0,2424,2894,127.1,86.4,93.3,135.3,100.2,117.320127,151.796259,145.493762,117.320127,96.111466,19.360589,31.033565,30.319325,25.41054,33.877781
12-5,12,408,holstein,4/6/2004,5,8/12/2012,6/2/2013,8/9/2013,68,3.696,2,0,0,781,2887,106.2,75.1,0.6,8.3,57.5,224,163.367933,124.09277,224,225,30.406261,34.107981,30.156933,17.810381,10.943474
13-6,13,430,holstein,11/13/2004,6,4/4/2013,1/13/2014,7/7/2014,175,1.545,2,0,0,1505,2325,86.4,93.3,135.3,100.2,185.2,96.111466,145.493762,117.320127,96.111466,107.842418,31.033565,30.319325,25.41054,33.877781,37.902487
14-4,14,434,holstein,12/22/2004,4,7/9/2012,5/14/2013,4/25/2014,346,1,2,0,0,3220,3220,42.7,106.2,75.1,0.6,8.3,124.09277,157.32765,163.367933,124.09277,224,30.172386,30.406261,34.107981,30.156933,17.810381
15-5,15,435,holstein,12/31/2004,5,10/23/2012,8/6/2013,12/5/2014,486,1,2,0,0,3480,3480,0.6,8.3,57.5,7.3,127.1,124.159287,224,225,124.159287,78.841416,30.156933,17.810381,10.943474,9.83416,19.360589
16-5,16,514,holstein,4/6/2005,5,12/25/2012,10/9/2013,9/18/2014,344,1,1,0,0,4028,4028,57.5,7.3,127.1,86.4,93.3,151.796259,124.159287,78.841416,151.796259,145.493762,10.943474,9.83416,19.360589,31.033565,30.319325
18-3,18,535,holstein,11/10/2005,3,7/9/2012,4/20/2013,6/17/2013,58,4.316,3,0,0,902,3893,161.3,42.7,106.2,75.1,0.6,163.367933,119.121186,157.32765,163.367933,124.09277,33.831395,30.172386,30.406261,34.107981,30.156933
19-5,19,543,holstein,12/21/2005,5,6/7/2012,4/2/2013,7/22/2013,111,2.322,2,0,0,1025,2380,161.3,42.7,106.2,75.1,0.6,163.367933,119.121186,157.32765,163.367933,124.09277,33.831395,30.172386,30.406261,34.107981,30.156933
22-5,22,607,holstein,4/5/2006,5,5/7/2013,2/20/2014,9/28/2015,585,1,5,0,0,4441,4441,93.3,135.3,100.2,185.2,41.3,107.842418,117.320127,96.111466,107.842418,110.669392,30.319325,25.41054,33.877781,37.902487,31.886018
26-5,26,618,holstein,5/5/2006,5,11/2/2012,8/21/2013,6/27/2014,310,1,1,0,0,4383,4383,0.6,8.3,57.5,7.3,127.1,124.159287,224,225,124.159287,78.841416,30.156933,17.810381,10.943474,9.83416,19.360589
26-6,26,618,holstein,5/5/2006,6,12/17/2013,10/2/2014,8/28/2015,330,1,1,0,0,4705,4705,12.1,28.5,115.8,140.2,156.7,153.475103,228.495992,204.998524,153.475103,115.426871,10.943474,9.83416,19.360589,31.033565,30.319325
26-7,26,618,holstein,5/5/2006,7,2/9/2015,11/24/2015,3/21/2016,118,2.196,1,0,0,1687,3705,45.1,96.8,79.1,16.3,134.7,157.082374,269.336288,181.353285,157.082374,240.959574,6.151556,11.331658,20.086452,15.719301,18.099228
27-4,27,619,holstein,5/15/2006,4,2/4/2013,11/18/2013,4/19/2014,152,1.75,2,0,0,2137,3740,7.3,127.1,86.4,93.3,135.3,145.493762,78.841416,151.796259,145.493762,117.320127,9.83416,19.360589,31.033565,30.319325,25.41054
30-4,30,624,holstein,6/5/2006,4,5/23/2013,2/28/2014,6/25/2015,482,1,2,0,0,4323,4323,93.3,135.3,100.2,185.2,41.3,107.842418,117.320127,96.111466,107.842418,110.669392,30.319325,25.41054,33.877781,37.902487,31.886018
30-5,30,624,holstein,6/5/2006,5,12/29/2014,10/19/2015,3/9/2016,142,1.858,1,0,0,1819,3380,4.5,45.1,96.8,79.1,16.3,181.353285,273.122689,269.336288,181.353285,157.082374,7.829485,6.151556,11.331658,20.086452,15.719301
31-4,31,625,holstein,5/11/2006,4,1/9/2013,10/20/2013,7/7/2014,260,1.12,4,0,0,3546,3972,57.5,7.3,127.1,86.4,93.3,151.796259,124.159287,78.841416,151.796259,145.493762,10.943474,9.83416,19.360589,31.033565,30.319325
31-5,31,625,holstein,5/11/2006,5,12/17/2013,9/28/2014,6/25/2015,270,1.08,1,0,0,3714,4011,1.9,12.1,28.5,115.8,140.2,204.998524,248.538754,228.495992,204.998524,153.475103,17.810381,10.943474,9.83416,19.360589,31.033565
31-6,31,625,holstein,5/11/2006,6,3/5/2015,12/20/2015,9/16/2016,271,1.078,1,0,0,4003,4315,96.8,79.1,16.3,134.7,14.2,240.959574,181.353285,157.082374,240.959574,153.970939,11.331658,20.086452,15.719301,18.099228,18.801456
31-7,31,625,holstein,5/11/2006,7,3/15/2016,12/27/2016,6/14/2017,169,1.589,1,0,0,2356,3744,136.2,65.3,163.4,210.4,160.6,132.008991,152.85069,165.223938,132.008991,138.869953,32.669424,35.498488,38.008819,39.336882,39.080238
33-4,33,611,holstein,4/27/2006,4,9/6/2012,6/16/2013,5/16/2014,334,1,1,0,0,4341,4341,106.2,75.1,0.6,8.3,57.5,224,163.367933,124.09277,224,225,30.406261,34.107981,30.156933,17.810381,10.943474
33-5,33,611,holstein,4/27/2006,5,10/30/2013,8/8/2014,6/7/2016,669,1,2,0,0,3984,3984,22.2,1.9,12.1,28.5,115.8,228.495992,194.997911,248.538754,228.495992,204.998524,30.156933,17.810381,10.943474,9.83416,19.360589
35-5,35,631,f2,10/21/2006,5,10/24/2012,8/6/2013,5/16/2014,283,1.051,1,0,0,4225,4440,0.6,8.3,57.5,7.3,127.1,124.159287,224,225,124.159287,78.841416,30.156933,17.810381,10.943474,9.83416,19.360589
35-6,35,631,f2,10/21/2006,6,9/30/2013,7/13/2014,9/21/2015,435,1,1,0,0,4423,4423,201.2,22.2,1.9,12.1,28.5,248.538754,143.468382,194.997911,248.538754,228.495992,36.82973,30.156933,17.810381,10.943474,9.83416
35-7,35,631,f2,10/21/2006,7,2/15/2015,12/7/2015,8/18/2017,620,1,3,0,0,4811,4811,96.8,79.1,16.3,134.7,14.2,240.959574,181.353285,157.082374,240.959574,153.970939,11.331658,20.086452,15.719301,18.099228,18.801456
36-4,36,633,holstein,11/1/2006,4,5/6/2012,2/18/2013,3/25/2014,400,1,2,0,0,4446,4446,51.9,33.7,161.3,42.7,106.2,119.121186,179.373499,174.839676,119.121186,157.32765,43.884691,30.688658,33.831395,30.172386,30.406261
36-5,36,633,holstein,11/1/2006,5,10/23/2013,7/30/2014,4/29/2015,273,1.074,3,0,0,3453,3709,201.2,22.2,1.9,12.1,28.5,248.538754,143.468382,194.997911,248.538754,228.495992,36.82973,30.156933,17.810381,10.943474,9.83416
36-6,36,633,holstein,11/1/2006,6,9/2/2014,6/22/2015,10/7/2015,107,2.403,1,0,0,1334,3206,41.2,40.1,7.6,18.1,4.5,226.188808,163.056247,161.170368,226.188808,208.829276,25.632203,20.728636,16.038856,10.593604,7.829485
37-4,37,637,holstein,12/27/2006,4,2/4/2013,11/20/2013,12/30/2014,405,1,2,0,0,3342,3342,7.3,127.1,86.4,93.3,135.3,145.493762,78.841416,151.796259,145.493762,117.320127,9.83416,19.360589,31.033565,30.319325,25.41054
38-3,38,701,holstein,3/28/2007,3,9/9/2012,6/19/2013,3/12/2014,266,1.096,4,0,0,3555,3896,106.2,75.1,0.6,8.3,57.5,224,163.367933,124.09277,224,225,30.406261,34.107981,30.156933,17.810381,10.943474
38-4,38,701,holstein,3/28/2007,4,10/23/2013,8/1/2014,4/2/2015,244,1.174,1,0,0,2434,2858,22.2,1.9,12.1,28.5,115.8,228.495992,194.997911,248.538754,228.495992,204.998524,30.156933,17.810381,10.943474,9.83416,19.360589
39-4,39,702,holstein,4/3/2007,4,12/9/2013,9/10/2014,12/3/2015,449,1,5,0,0,3809,3809,1.9,12.1,28.5,115.8,140.2,204.998524,248.538754,228.495992,204.998524,153.475103,17.810381,10.943474,9.83416,19.360589,31.033565
40-4,40,703,holstein,4/4/2007,4,8/5/2012,5/21/2013,8/12/2014,448,1,1,0,0,3695,3695,42.7,106.2,75.1,0.6,8.3,124.09277,157.32765,163.367933,124.09277,224,30.172386,30.406261,34.107981,30.156933,17.810381
40-5,40,703,holstein,4/4/2007,5,3/7/2014,12/18/2014,10/19/2015,305,1,2,0,0,4196,4196,115.8,140.2,156.7,34.8,87.5,160.822302,153.475103,115.426871,160.822302,165.790468,19.360589,31.033565,30.319325,25.41054,28.050412
44-4,44,714,holstein,5/23/2007,4,9/30/2012,7/7/2013,9/18/2014,438,1,1,0,0,3708,3708,75.1,0.6,8.3,57.5,7.3,225,124.09277,224,225,124.159287,34.107981,30.156933,17.810381,10.943474,9.83416
46-3,46,717,holstein,6/7/2007,3,3/7/2014,12/18/2014,12/3/2015,350,1,3,0,0,4209,4209,115.8,140.2,156.7,34.8,87.5,160.822302,153.475103,115.426871,160.822302,165.790468,19.360589,31.033565,30.319325,25.41054,28.050412
46-4,46,717,holstein,6/7/2007,4,10/22/2015,8/6/2016,8/18/2017,377,1,7,0,0,4224,4224,40.7,4.6,19,57,136.2,275.126145,194.639684,209.441483,275.126145,209.458354,37.592718,30.77912,23.424803,18.522819,32.669424
48-3,48,719,holstein,6/15/2007,3,4/7/2012,1/23/2013,9/18/2014,603,1,1,1,0,4031,4031,124.7,51.9,33.7,161.3,42.7,174.839676,142.60203,179.373499,174.839676,119.121186,42.085366,43.884691,30.688658,33.831395,30.172386
49-4,49,721,holstein,6/23/2007,4,4/12/2013,1/21/2014,2/27/2015,402,1,2,0,0,4241,4241,86.4,93.3,135.3,100.2,185.2,96.111466,145.493762,117.320127,96.111466,107.842418,31.033565,30.319325,25.41054,33.877781,37.902487
49-5,49,721,holstein,6/23/2007,5,8/7/2014,5/17/2015,7/13/2016,423,1,1,0,0,4193,4193,166.8,41.2,40.1,7.6,18.1,161.170368,130.743594,163.056247,161.170368,226.188808,33.118921,25.632203,20.728636,16.038856,10.593604
50-3,50,727,f2,10/23/2007,3,11/29/2012,9/14/2013,5/16/2014,244,1.174,1,0,0,3982,4675,8.3,57.5,7.3,127.1,86.4,78.841416,225,124.159287,78.841416,151.796259,17.810381,10.943474,9.83416,19.360589,31.033565
50-4,50,727,f2,10/23/2007,4,10/27/2013,8/3/2014,2/27/2015,208,1.332,1,0,0,4290,5714,22.2,1.9,12.1,28.5,115.8,228.495992,194.997911,248.538754,228.495992,204.998524,30.156933,17.810381,10.943474,9.83416,19.360589
50-5,50,727,f2,10/23/2007,5,10/7/2014,5/17/2015,5/17/2016,366,1,1,0,0,3380,3380,166.8,41.2,40.1,7.6,18.1,161.170368,130.743594,163.056247,161.170368,226.188808,33.118921,25.632203,20.728636,16.038856,10.593604
50-6,50,727,f2,10/23/2007,6,10/30/2015,8/6/2016,7/17/2017,345,1,2,0,0,2007,2007,40.7,4.6,19,57,136.2,275.126145,194.639684,209.441483,275.126145,209.458354,37.592718,30.77912,23.424803,18.522819,32.669424
53-2,53,735,holstein,12/15/2007,2,8/30/2012,6/14/2013,9/24/2014,467,1,6,0,0,5095,5095,106.2,75.1,0.6,8.3,57.5,224,163.367933,124.09277,224,225,30.406261,34.107981,30.156933,17.810381,10.943474
53-3,53,735,holstein,12/15/2007,3,5/9/2014,2/10/2015,12/11/2015,304,1.002,4,0,0,5439,5450,156.7,34.8,87.5,166.8,41.2,152.302829,160.822302,165.790468,152.302829,130.743594,30.319325,25.41054,28.050412,33.118921,25.632203
54-3,54,737,holstein,12/20/2007,3,8/5/2012,5/17/2013,9/24/2014,495,1,1,0,0,3631,3631,42.7,106.2,75.1,0.6,8.3,124.09277,157.32765,163.367933,124.09277,224,30.172386,30.406261,34.107981,30.156933,17.810381
55-3,55,802,holstein,4/1/2008,3,9/21/2012,7/13/2013,5/16/2014,307,1,2,0,0,3754,3754,75.1,0.6,8.3,57.5,7.3,225,124.09277,224,225,124.159287,34.107981,30.156933,17.810381,10.943474,9.83416
55-4,55,802,holstein,4/1/2008,4,10/5/2013,7/25/2014,9/21/2015,423,1,1,0,0,3381,3381,201.2,22.2,1.9,12.1,28.5,248.538754,143.468382,194.997911,248.538754,228.495992,36.82973,30.156933,17.810381,10.943474,9.83416
55-5,55,802,holstein,4/1/2008,5,3/13/2015,1/9/2016,9/20/2016,255,1.135,4,0,0,3203,3635,79.1,16.3,134.7,14.2,92.1,153.970939,157.082374,240.959574,153.970939,172.327754,20.086452,15.719301,18.099228,18.801456,34.59026
56-3,56,806,holstein,4/17/2008,3,11/2/2012,8/6/2013,12/30/2014,511,1,1,0,0,4000,4000,0.6,8.3,57.5,7.3,127.1,124.159287,224,225,124.159287,78.841416,30.156933,17.810381,10.943474,9.83416,19.360589
56-4,56,806,holstein,4/17/2008,4,7/19/2014,4/30/2015,4/7/2016,343,1,1,0,0,4672,4672,87.5,166.8,41.2,40.1,7.6,163.056247,152.302829,130.743594,163.056247,161.170368,28.050412,33.118921,25.632203,20.728636,16.038856
56-5,56,806,holstein,4/17/2008,5,8/18/2015,6/4/2016,11/1/2017,515,1,1,0,0,4307,4307,33.4,48.6,40.7,4.6,19,194.639684,156.660464,178.601878,194.639684,209.441483,40.011884,38.780553,37.592718,30.77912,23.424803
57-2,57,809,holstein,4/23/2008,2,5/13/2012,2/25/2013,3/5/2014,373,1,2,0,0,3875,3875,51.9,33.7,161.3,42.7,106.2,119.121186,179.373499,174.839676,119.121186,157.32765,43.884691,30.688658,33.831395,30.172386,30.406261
57-3,57,809,holstein,4/23/2008,3,8/24/2013,6/3/2014,9/21/2015,475,1,1,0,0,4291,4291,41.3,201.2,22.2,1.9,12.1,194.997911,173.506239,143.468382,194.997911,248.538754,31.886018,36.82973,30.156933,17.810381,10.943474
57-4,57,809,holstein,4/23/2008,4,2/17/2015,12/7/2015,8/18/2017,620,1,3,0,0,4593,4593,96.8,79.1,16.3,134.7,14.2,240.959574,181.353285,157.082374,240.959574,153.970939,11.331658,20.086452,15.719301,18.099228,18.801456
59-3,59,816,holstein,6/15/2008,3,9/10/2012,6/24/2013,2/5/2014,226,1.246,1,0,0,2587,3223,106.2,75.1,0.6,8.3,57.5,224,163.367933,124.09277,224,225,30.406261,34.107981,30.156933,17.810381,10.943474
59-4,59,816,holstein,6/15/2008,4,8/13/2013,5/27/2014,2/19/2015,268,1.088,1,0,0,3045,3313,185.2,41.3,201.2,22.2,1.9,143.468382,110.669392,173.506239,143.468382,194.997911,37.902487,31.886018,36.82973,30.156933,17.810381
59-5,59,816,holstein,6/15/2008,5,7/17/2014,5/5/2015,1/8/2016,248,1.158,1,0,0,2885,3341,166.8,41.2,40.1,7.6,18.1,161.170368,130.743594,163.056247,161.170368,226.188808,33.118921,25.632203,20.728636,16.038856,10.593604
60-2,60,823,f2,9/15/2008,2,7/27/2012,5/6/2013,3/25/2014,323,1,1,0,0,3909,3909,42.7,106.2,75.1,0.6,8.3,124.09277,157.32765,163.367933,124.09277,224,30.172386,30.406261,34.107981,30.156933,17.810381
60-3,60,823,f2,9/15/2008,3,8/27/2013,6/1/2014,9/21/2015,477,1,1,0,0,4765,4765,41.3,201.2,22.2,1.9,12.1,194.997911,173.506239,143.468382,194.997911,248.538754,31.886018,36.82973,30.156933,17.810381,10.943474
60-4,60,823,f2,9/15/2008,4,1/27/2015,11/6/2015,9/30/2016,329,1,2,0,0,3959,3959,45.1,96.8,79.1,16.3,134.7,157.082374,269.336288,181.353285,157.082374,240.959574,6.151556,11.331658,20.086452,15.719301,18.099228
60-5,60,823,f2,9/15/2008,5,3/24/2016,1/3/2017,6/11/2017,159,1.68,1,0,0,2451,4118,65.3,163.4,210.4,160.6,273.8,138.869953,165.223938,132.008991,138.869953,127.815019,35.498488,38.008819,39.336882,39.080238,40.939281
61-3,61,825,holstein,10/12/2008,3,7/14/2012,4/23/2013,11/20/2013,211,1.315,2,0,0,1881,2474,161.3,42.7,106.2,75.1,0.6,163.367933,119.121186,157.32765,163.367933,124.09277,33.831395,30.172386,30.406261,34.107981,30.156933
62-3,62,826,holstein,10/17/2008,3,5/23/2013,3/7/2014,5/19/2015,438,1,1,0,0,4309,4309,135.3,100.2,185.2,41.3,201.2,110.669392,96.111466,107.842418,110.669392,173.506239,25.41054,33.877781,37.902487,31.886018,36.82973
62-4,62,826,holstein,10/17/2008,4,10/30/2014,8/17/2015,12/28/2016,499,1,1,0,0,4239,4239,7.6,18.1,4.5,45.1,96.8,273.122689,226.188808,208.829276,273.122689,269.336288,16.038856,10.593604,7.829485,6.151556,11.331658
64-3,64,829,holstein,10/24/2008,3,7/17/2013,4/27/2014,4/10/2015,348,1,4,0,0,4008,4008,100.2,185.2,41.3,201.2,22.2,173.506239,107.842418,110.669392,173.506239,143.468382,33.877781,37.902487,31.886018,36.82973,30.156933
64-4,64,829,holstein,10/24/2008,4,9/2/2014,6/13/2015,8/29/2016,443,1,2,0,0,3841,3841,41.2,40.1,7.6,18.1,4.5,226.188808,163.056247,161.170368,226.188808,208.829276,25.632203,20.728636,16.038856,10.593604,7.829485
66-3,66,833,holstein,12/10/2008,3,4/12/2013,1/18/2014,5/13/2015,480,1,1,0,0,3718,3718,86.4,93.3,135.3,100.2,185.2,96.111466,145.493762,117.320127,96.111466,107.842418,31.033565,30.319325,25.41054,33.877781,37.902487
66-4,66,833,holstein,12/10/2008,4,10/12/2014,7/29/2015,4/20/2017,631,1,3,0,0,3976,3976,40.1,7.6,18.1,4.5,45.1,208.829276,161.170368,226.188808,208.829276,273.122689,20.728636,16.038856,10.593604,7.829485,6.151556
66-5,66,833,holstein,12/10/2008,5,10/6/2016,7/25/2017,11/1/2017,99,2.577,1,0,0,1285,3311,90.5,74.7,5.4,22.1,22.2,254.3475,19.739858,181.074738,254.3475,216.143271,40.018546,37.712208,31.195986,22.756909,18.13959
67-3,67,834,holstein,12/11/2008,3,7/28/2012,5/7/2013,3/5/2014,302,1.006,1,0,0,3802,3825,42.7,106.2,75.1,0.6,8.3,124.09277,157.32765,163.367933,124.09277,224,30.172386,30.406261,34.107981,30.156933,17.810381
67-4,67,834,holstein,12/11/2008,4,8/25/2013,6/5/2014,5/19/2015,348,1,2,0,0,4411,4411,41.3,201.2,22.2,1.9,12.1,194.997911,173.506239,143.468382,194.997911,248.538754,31.886018,36.82973,30.156933,17.810381,10.943474
67-5,67,834,holstein,12/11/2008,5,11/4/2014,8/19/2015,10/10/2016,418,1,1,0,0,4356,4356,7.6,18.1,4.5,45.1,96.8,273.122689,226.188808,208.829276,273.122689,269.336288,16.038856,10.593604,7.829485,6.151556,11.331658
69-2,69,828,holstein,10/22/2008,2,9/17/2013,6/20/2014,5/13/2015,327,1,3,0,0,4716,4716,41.3,201.2,22.2,1.9,12.1,194.997911,173.506239,143.468382,194.997911,248.538754,31.886018,36.82973,30.156933,17.810381,10.943474
69-3,69,828,holstein,10/22/2008,3,10/14/2014,7/20/2015,7/15/2016,361,1,1,0,0,5395,5395,40.1,7.6,18.1,4.5,45.1,208.829276,161.170368,226.188808,208.829276,273.122689,20.728636,16.038856,10.593604,7.829485,6.151556
69-4,69,828,holstein,10/22/2008,4,2/10/2016,11/20/2016,3/31/2017,131,1.997,2,0,0,1591,3177,57,136.2,65.3,163.4,210.4,165.223938,209.458354,152.85069,165.223938,132.008991,18.522819,32.669424,35.498488,38.008819,39.336882
72-1,72,902,holstein,3/27/2009,1,8/13/2013,5/22/2014,2/13/2015,267,1.092,2,0,0,4752,5189,185.2,41.3,201.2,22.2,1.9,143.468382,110.669392,173.506239,143.468382,194.997911,37.902487,31.886018,36.82973,30.156933,17.810381
72-2,72,902,holstein,3/27/2009,2,7/19/2014,4/26/2015,4/7/2016,347,1,1,0,0,5762,5762,87.5,166.8,41.2,40.1,7.6,163.056247,152.302829,130.743594,163.056247,161.170368,28.050412,33.118921,25.632203,20.728636,16.038856
72-3,72,902,holstein,3/27/2009,3,9/8/2015,6/7/2016,11/1/2017,512,1,1,1,0,4169,4169,33.4,48.6,40.7,4.6,19,194.639684,156.660464,178.601878,194.639684,209.441483,40.011884,38.780553,37.592718,30.77912,23.424803
73-2,73,903,holstein,4/8/2009,2,12/16/2012,9/27/2013,8/30/2014,337,1,1,0,0,3035,3035,8.3,57.5,7.3,127.1,86.4,78.841416,225,124.159287,78.841416,151.796259,17.810381,10.943474,9.83416,19.360589,31.033565
75-2,75,905,holstein,4/10/2009,2,4/7/2012,1/21/2013,8/9/2013,200,1.38,1,0,0,1900,2622,124.7,51.9,33.7,161.3,42.7,174.839676,142.60203,179.373499,174.839676,119.121186,42.085366,43.884691,30.688658,33.831395,30.172386
78-2,78,909,f1,5/1/2009,2,10/25/2012,8/18/2013,7/1/2014,317,1,2,0,0,3191,3191,0.6,8.3,57.5,7.3,127.1,124.159287,224,225,124.159287,78.841416,30.156933,17.810381,10.943474,9.83416,19.360589
80-1,80,911,f1,5/10/2009,1,4/24/2012,2/9/2013,11/8/2013,272,1.076,1,1,0,3494,3760,51.9,33.7,161.3,42.7,106.2,119.121186,179.373499,174.839676,119.121186,157.32765,43.884691,30.688658,33.831395,30.172386,30.406261
80-2,80,911,f1,5/10/2009,2,4/16/2013,1/24/2014,4/10/2015,441,1,1,0,0,4024,4024,86.4,93.3,135.3,100.2,185.2,96.111466,145.493762,117.320127,96.111466,107.842418,31.033565,30.319325,25.41054,33.877781,37.902487
80-3,80,911,f1,5/10/2009,3,9/21/2014,7/15/2015,4/7/2016,267,1.092,1,0,0,3797,4146,40.1,7.6,18.1,4.5,45.1,208.829276,161.170368,226.188808,208.829276,273.122689,20.728636,16.038856,10.593604,7.829485,6.151556
80-4,80,911,f1,5/10/2009,4,9/11/2015,7/4/2016,11/1/2017,485,1,1,0,0,3842,3842,48.6,40.7,4.6,19,57,209.441483,178.601878,194.639684,209.441483,275.126145,38.780553,37.592718,30.77912,23.424803,18.522819
81-2,81,912,f1,5/15/2009,2,4/8/2012,1/24/2013,3/5/2014,405,1,1,0,0,3715,3715,124.7,51.9,33.7,161.3,42.7,174.839676,142.60203,179.373499,174.839676,119.121186,42.085366,43.884691,30.688658,33.831395,30.172386
